Timestamp,Elbow
11.317843,59.9184
11.33426,56.5518
11.350977,53.3062
11.367694,49.8506
11.384411,45.8918
11.401128,42.505
11.417845,39.8316
11.434562,37.2262
11.450979,34.3069
11.467696,31.2939
11.484113,28.508
11.50083,25.777
11.517547,23.3596
11.534264,21.2273
11.550981,19.1133
11.567698,16.9098
11.584415,14.6965
11.601132,12.8339
11.617849,11.2776
11.634566,9.7096
11.651283,8.192
11.668,6.7457
11.684717,5.5415
11.701434,4.6209
11.718151,3.9947
11.734868,3.401
11.751285,2.9861
11.768002,2.7099
11.784719,2.5398
11.801436,2.4399
11.818153,2.4588
11.83487,2.5047
11.851587,2.5004
11.868304,2.5541
11.885021,2.6851
11.901738,2.8062
11.918455,2.838
11.934872,2.7841
11.951589,2.7323
11.968306,2.7991
11.985023,2.9863
12.00174,3.2744
12.018457,3.5885
12.035174,3.7694
12.051591,3.749
12.068308,3.8927
12.084725,4.2752
12.101442,4.8801
12.118159,5.968
12.134876,7.5709
12.151593,9.3229
12.16831,11.3292
12.185027,14.0348
12.201444,17.3878
12.218161,20.854
12.234878,23.053
12.251595,24.3131
12.268312,26.5156
12.285029,30.0401
12.301746,33.3125
12.318463,36.5601
12.33518,39.6375
12.351597,42.4974
12.368314,46.3786
12.385031,50.6264
12.401748,55.147
12.418465,59.4434
12.435182,61.7305
12.451899,63.3901
12.468616,65.7487
12.485333,69.1894
12.50175,72.773
12.518467,76.2398
12.535184,78.905
12.551901,81.1085
12.568618,83.1993
12.585335,86.505
12.602052,89.768
12.618769,92.3725
12.635486,94.4876
12.651903,96.92
12.66862,99.6745
12.685037,102.4792
12.701754,106.14
12.718471,109.8121
12.735188,113.2256
12.751905,116.421
12.768622,119.4221
12.785339,122.4487
12.801756,125.2937
12.818473,128.3707
12.83489,131.587
12.851607,134.2465
12.868324,136.2454
12.885041,138.1457
12.901758,139.9442
12.918475,142.1075
12.935192,144.1165
12.951609,145.3116
12.968326,145.5413
12.985043,145.3503
13.00176,145.1883
13.018477,145.3456
13.035194,145.7323
13.051911,146.1655
13.068628,145.8759
13.085345,144.4753
13.101762,142.3891
13.118479,140.2152
